Seq_ID	Species
SNY10451_19	Cyclospora cayetanensis
SNY10461_20	Cyclospora cayetanensis
SNY10471_20	Cyclospora cayetanensis
SNY10491_19	Cyclospora cayetanensis
SNY10491_20	Cyclospora cayetanensis
SNY10501_22	Cyclospora cayetanensis
SNY10511_20	Cyclospora cayetanensis
SNY10561_20	Cyclospora cayetanensis
SNY10591_22	Cyclospora cayetanensis
SNY10651_22	Cyclospora cayetanensis
SNY10681_22	Cyclospora cayetanensis
SNY10691_20	Cyclospora cayetanensis
SNY10711_20	Cyclospora cayetanensis
SNY10721_20	Cyclospora cayetanensis
SNY10761_22	Cyclospora cayetanensis
SNY10901_22	Cyclospora cayetanensis
SNY10941_22	Cyclospora cayetanensis
SNY11021_19	Cyclospora cayetanensis
SNY11021_22	Cyclospora cayetanensis
SNY11031_22	Cyclospora cayetanensis
SNY11041_22	Cyclospora cayetanensis
SNY11141_22	Cyclospora cayetanensis
SNY11171_22	Cyclospora cayetanensis
SNY11221_22	Cyclospora cayetanensis
SNY11321_22	Cyclospora cayetanensis
SNY11351_22	Cyclospora cayetanensis
SNY11401_22	Cyclospora cayetanensis
SNY11411_20	Cyclospora cayetanensis
SNY11431_22	Cyclospora cayetanensis
SNY11471_22	Cyclospora cayetanensis
SNY11721_22	Cyclospora cayetanensis
SNY11791_22	Cyclospora cayetanensis
SNY11841_22	Cyclospora cayetanensis
SNY11941_22	Cyclospora cayetanensis
SNY11951_19	Cyclospora cayetanensis
SNY11971_22	Cyclospora cayetanensis
SNY12011_22	Cyclospora cayetanensis
SNY12061_22	Cyclospora cayetanensis
SNY12171_22	Cyclospora cayetanensis
SNY13811_19	Cyclospora cayetanensis
STX10011_20	Cyclospora cayetanensis
STX10031_19	Cyclospora cayetanensis
STX10051_22	Cyclospora cayetanensis
STX10071_22	Cyclospora cayetanensis
STX10091_22	Cyclospora cayetanensis
STX10111_19	Cyclospora cayetanensis
STX10111_22	Cyclospora cayetanensis
STX10141_22	Cyclospora cayetanensis
STX10151_22	Cyclospora cayetanensis
STX10161_22	Cyclospora cayetanensis
STX10201_19	Cyclospora cayetanensis
STX10221_22	Cyclospora cayetanensis
STX10231_22	Cyclospora cayetanensis
STX10281_22	Cyclospora cayetanensis
STX10351_22	Cyclospora cayetanensis
STX10421_22	Cyclospora cayetanensis
STX10441_22	Cyclospora cayetanensis
STX10451_22	Cyclospora cayetanensis
STX10481_22	Cyclospora cayetanensis
STX10541_22	Cyclospora cayetanensis
STX10551_22	Cyclospora cayetanensis
STX10581_22	Cyclospora cayetanensis
STX10582_22	Cyclospora cayetanensis
STX10601_22	Cyclospora cayetanensis
STX10602_22	Cyclospora cayetanensis
STX10611_22	Cyclospora cayetanensis
STX10612_22	Cyclospora cayetanensis
STX10621_22	Cyclospora cayetanensis
STX10631_22	Cyclospora cayetanensis
STX10632_22	Cyclospora cayetanensis
STX10641_22	Cyclospora cayetanensis
STX10642_22	Cyclospora cayetanensis
STX10651_22	Cyclospora cayetanensis
STX10671_22	Cyclospora cayetanensis
STX10672_22	Cyclospora cayetanensis
STX10701_22	Cyclospora cayetanensis
STX10702_22	Cyclospora cayetanensis
STX10721_22	Cyclospora cayetanensis
STX10731_19	Cyclospora cayetanensis
STX10761_22	Cyclospora cayetanensis
STX10762_22	Cyclospora cayetanensis
STX10801_22	Cyclospora cayetanensis
STX10821_22	Cyclospora cayetanensis
STX10921_22	Cyclospora cayetanensis
STX10941_22	Cyclospora cayetanensis
STX10971_22	Cyclospora cayetanensis
STX11031_20	Cyclospora cayetanensis
STX11032_22	Cyclospora cayetanensis
STX11201_20	Cyclospora cayetanensis
STX11381_20	Cyclospora cayetanensis
STX11551_20	Cyclospora cayetanensis
