Seq_ID	Assigned_cluster
CFL12191_22	23
CFL12201_22	7
CFL12211_22	7
CFL12221_22	7
CFL12231_22	23
CFL12241_22	7
CFL12251_22	7
CFL12261_22	5
CFL12271_22	5
CFL12281_22	7
CFL12291_22	7
CFL12301_22	7
CFL12321_22	7
CFL12331_22	7
CFL12341_22	7
CFL12351_22	7
CFL12361_22	11
CFL12381_22	5
CFL12391_22	7
CFL12401_22	5
CFL12411_22	7
CFL12431_22	7
CFL12441_22	4
CFL12461_22	7
CFL12501_22	7
CFL12511_22	11
CFL12551_22	5
CFL12561_22	7
CFL12591_22	7
CFL12601_22	41
CFL12611_22	1
CFL12631_22	7
CFL12641_22	7
CFL12661_22	41
CFL12671_22	5
CFL12691_22	1
CFL12701_22	19
CFL12711_22	7
CFL12731_22	7
CFL12751_22	7
CFL12761_22	7
CGA10051_20	1
CGA10051_22	1
CGA10071_20	9
CGA10071_22	7
CGA10081_22	26
CGA10091_22	24
CGA10101_19	2
CGA10101_20	9
CGA10111_22	1
CGA10121_22	1
CGA10131_22	1
CGA10141_20	9
CGA10141_22	15
CGA10151_20	9
CGA10151_22	1
CGA10161_22	42
CGA10171_20	9
CGA10171_22	33
CGA10191_22	35
CGA10201_20	12
CGA10201_22	7
CGA10211_22	7
CGA10231_20	35
CGA10231_22	23
CGA10241_22	7
CGA10251_21	5
CGA10251_22	7
CGA10261_22	23
CGA10271_22	7
CGA10281_20	9
CGA10281_22	7
CGA10291_22	7
CGA10301_21	17
CGA10311_20	9
CGA10311_22	23
CGA10321_22	23
CGA10331_22	7
CGA10341_21	5
CGA10341_22	7
CGA10351_20	9
CGA10351_22	23
CGA10361_22	7
CGA10371_22	7
CGA10381_22	7
CGA10401_22	23
CGA10421_22	23
CGA10431_22	23
CGA10441_21	1
CGA10441_22	23
CGA10451_20	7
CGA10451_22	23
CGA10461_21	39
CGA10461_22	23
CGA10471_22	23
CGA10481_22	23
CGA10501_19	43
CGA10531_22	23
CGA10541_22	20
CGA10561_22	7
CGA10571_22	23
CGA10581_22	23
CGA10591_22	23
CGA10601_22	23
CGA10611_22	23
CGA10621_22	23
CGA10631_22	23
CGA10641_22	23
CGA10651_22	23
CGA10671_22	1
CGA10681_22	7
CGA10691_22	23
CGA10701_22	23
CGA10711_22	23
CGA10731_22	23
CGA10761_22	7
CGA10771_22	7
CGA10781_22	7
CGA10791_22	1
CGA10801_22	23
CGA10811_22	7
CGA10821_22	23
CGA10831_22	44
CGA10851_22	23
CGA10861_22	7
CGA10871_22	23
CGA10881_22	23
CGA10891_22	23
CGA10901_22	7
CGA10911_22	23
CGA10921_22	7
CGA10941_22	8
CGA10951_22	7
CGA10961_22	11
CGA10971_22	7
CGA10981_22	23
CGA10991_22	7
CGA11011_22	23
CGA11021_22	7
CGA11031_22	45
CGA11041_22	35
CGA11091_22	23
CGA11111_22	7
CGA11131_22	36
CGA11141_22	7
CGA11171_22	7
CGA11191_22	5
CGA11221_22	11
CGA11241_22	20
CGA11281_22	23
CGA11291_22	46
CGA11341_22	8
CGA11361_22	32
CGA11411_22	7
CIA10011_20	5
CIA10011_22	45
CIA10051_19	1
CIA10051_20	5
CIA10061_22	8
CIA10062_20	47
CIA10071_20	48
CIA10071_22	27
CIA10101_19	1
CIA10111_19	1
CIA10111_20	5
CIA10121_19	1
CIA10131_19	1
CIA10131_20	47
CIA10141_20	5
CIA10151_20	44
CIA10161_19	1
CIA10161_20	47
CIA10171_19	1
CIA10171_20	5
CIA10181_19	1
CIA10191_20	47
CIA10201_20	47
CIA10212_20	47
CIA10221_19	1
CIA10231_20	5
CIA10241_19	1
CIA10242_20	5
CIA10251_19	1
CIA10261_20	5
CIA10271_20	47
CIA10281_19	1
CIA10281_20	47
CIA10291_19	1
CIA10291_20	47
CIA10302_18	49
CIA10311_20	47
CIA10321_20	47
CIA10361_20	47
CIA10371_20	47
CIA10391_20	5
CIA10401_20	5
CIA10411_20	5
CIA10421_20	5
CIA10431_20	5
CIA10451_20	47
CIA10471_20	47
CIA10491_20	5
CIA10501_20	5
CIA10511_20	5
CIA10521_20	5
CIA10531_20	5
CIA10541_20	5
CIA10561_20	47
CIA10571_20	5
CIA10581_20	47
CIA10591_20	5
CIA10601_20	5
CIA10611_20	5
CIA10621_20	5
CIA10631_20	5
CIA10641_20	5
CIA10651_20	47
CIA10661_20	47
CIA10671_20	5
CIA10681_20	47
CIA10691_20	5
CIA10701_20	5
CIA10711_20	5
CIA10722_20	5
CIA10741_20	5
CIA10751_20	47
CIA10771_20	5
CIA10791_20	47
CIA10802_20	47
CIA10821_20	47
CIA10831_20	7
CIA10851_20	47
CIA10881_20	47
CIA10891_20	5
CIA10921_20	47
CIA11031_20	1
CIA11091_20	1
CIL10011_20	5
CIL10011_22	47
CIL10021_20	5
CIL10021_22	7
CIL10031_20	47
CIL10031_22	7
CIL10041_20	5
CIL10041_22	7
CIL10052_20	5
CIL10061_19	4
CIL10061_20	5
CIL10071_20	5
CIL10081_20	47
CIL10091_20	5
CIL10101_19	46
CIL10101_20	5
CIL10101_22	50
CIL10111_19	7
CIL10111_22	28
CIL10121_19	7
CIL10121_20	44
CIL10121_22	51
CIL10131_20	47
CIL10151_20	47
CIL10151_22	28
CIL10161_20	47
CIL10161_22	28
CIL10171_22	1
CIL10172_20	5
CIL10181_20	47
CIL10181_22	1
CIL10191_20	47
CIL10201_22	30
CIL10211_22	7
CIL10221_22	4
CIL10222_21	1
CIL10231_22	5
CIL10241_20	5
CIL10241_22	5
CIL10251_22	12
CIL10271_22	22
CIL10281_20	5
CIL10281_22	5
CIL10291_20	47
CIL10301_20	5
CIL10301_22	13
CIL10322_20	52
CIL10341_20	5
CIL10381_20	47
CIL10401_20	5
CIL10431_20	5
CIL10441_20	5
CIL10461_20	7
CIL10471_20	5
CIL10481_20	5
CIL10511_20	5
CIL10571_20	5
CIL10591_20	47
CIL10611_20	47
CIL10621_20	5
CIL10631_20	5
CIL10651_20	5
CIL10661_20	5
CIL10671_20	7
CIL10691_20	7
CIL10711_20	5
CIL10741_20	47
CIL10751_20	7
CIL10771_20	47
CIL10781_20	10
CIL10801_20	18
CIL10841_20	7
CIL10982_20	7
CIL11081_20	7
CIL11091_20	33
CIL11151_20	1
CIL11161_20	1
CIL11363_18	1
CIN10011_22	1
CIN10021_22	20
CIN10041_22	1
CIN10042_21	16
CIN10051_22	1
CIN10052_21	5
CIN10061_22	20
CIN10071_22	5
CIN10072_21	4
CIN10082_21	33
CIN10091_21	7
CKS10011_20	5
CKS10021_20	5
CKS10031_20	1
CKS10051_20	1
CKS10061_20	30
CKS10071_20	1
CKS10081_20	1
CMA10021_19	36
CMA10051_19	43
CMA10081_19	36
CMA10101_19	36
CMA10121_19	36
CMA10141_19	36
CMA10151_19	36
CMA10161_19	36
CMA10171_19	36
CMA10181_19	36
CMA10221_19	8
CMA10301_19	36
CMA10331_19	34
CMA10471_19	34
CMA10481_19	34
CMA10541_19	43
CMA10591_19	36
CMA10611_19	43
CMA10621_19	43
CMA10661_19	22
CMA10721_19	43
CMA10731_19	43
CMA10741_19	43
CMA10751_19	43
CMA10791_19	43
CMA10811_19	43
CMA10821_19	43
CMA10831_19	43
CMA10871_19	43
CMA10891_19	43
CMA10911_19	3
CMA10921_19	43
CMA10931_19	7
CME35521_14	38
CMI10011_19	20
CMI10011_22	53
CMI10021_19	30
CMI10031_19	19
CMI10031_21	21
CMI10031_22	54
CMI10041_19	7
CMI10041_22	55
CMI10051_19	7
CMI10051_22	51
CMI10061_19	7
CMI10071_19	11
CMI10071_22	1
CMI10081_19	19
CMI10081_22	52
CMI10091_19	7
CMI10091_22	17
CMI10111_19	11
CMI10111_22	51
CMI10121_19	7
CMI10131_22	1
CMI10141_19	19
CMI10141_22	28
CMI10161_22	23
CMI10181_22	56
CMI10191_22	5
CMI10211_19	11
CMI10221_19	7
CMI10221_22	5
CMI10231_22	4
CMI10241_22	7
CMI10251_22	1
CMI10261_21	4
CMI10271_22	5
CMI10321_22	1
CMI10341_19	7
CMI10351_19	7
CMI10361_19	7
CMI10371_22	5
CMI10381_22	25
CMI10391_19	7
CMI10521_19	45
CMI10531_19	7
CMN10011_22	54
CMN10021_22	25
CMN10031_20	47
CMN10041_20	47
CMN10041_22	31
CMN10051_22	31
CMN10061_20	48
CMN10071_20	5
CMN10071_22	7
CMN10081_22	1
CMN10082_20	47
CMN10091_20	5
CMN10101_22	7
CMN10111_20	5
CMN10111_21	21
CMN10111_22	1
CMN10131_22	7
CMN10151_20	5
CMN10151_22	13
CMN10161_20	5
CMN10161_22	23
CMN10171_20	32
CMN10171_22	9
CMN10191_20	5
CMN10191_22	8
CMN10201_20	5
CMN10201_21	5
CMN10201_22	7
CMN10211_20	47
CMN10211_22	23
CMN10221_20	5
CMN10221_22	31
CMN10231_20	44
CMN10241_20	5
CMN10251_20	5
CMN10251_22	30
CMN10261_20	5
CMN10271_20	47
CMN10281_20	5
CMN10301_20	5
CMN10312_20	5
CMN10341_20	47
CMN10361_20	5
CMN10371_20	5
CMN10401_20	5
CMN10401_21	4
CMN10411_20	5
CMN10421_20	5
CMN10431_20	5
CMN10441_20	47
CMN10451_20	47
CMN10461_20	47
CMN10471_20	47
CMN10481_20	5
CMN10491_20	47
CMN10502_20	5
CMN10511_20	47
CMN10521_20	5
CMN10542_21	4
CMN10551_20	5
CMN10561_20	5
CMN10571_20	5
CMN10582_20	44
CMN10591_20	5
CMN10601_20	5
CMN10611_20	5
CMN10651_20	47
CMN10671_20	5
CMN10691_20	47
CMN10721_20	5
CMN10751_20	5
CMN10761_20	5
CMN10771_20	48
CMN10801_20	5
CMN10861_20	7
CMN10882_20	57
CMN10891_20	5
CMN11121_20	47
CMN11261_20	33
CMO10011_20	1
CMO10011_22	45
CNE10031_20	5
CNE10041_20	5
CNE10051_20	47
CNE10061_20	5
CNE10071_20	47
CNE10081_20	5
CNE10091_20	5
CNE10092_21	5
CNE10101_20	5
CNE10111_20	47
CNE10112_21	5
